Players,Team,Type,Base,Sold
Daryl Mitchell,-,AR,2,Unsold
Krunal Pandya,RCB,AR,2,5.75
Nitish Rana,RR,AR,1.5,4.2
Washington Sundar,GT,AR,2,3.2
Shardul Thakur,-,AR,2,Unsold
Srikar Bharat,-,BAT,0.75,Unsold
Alex Carey,-,BAT,1,Unsold
Donovan Ferreira,DC,BAT,0.75,0.75
Shai Hope,-,BAT,1.25,Unsold
Josh Inglis,PBKS,BAT,2,2.6
Ryan Rickelton,MI,BAT,1,1
Deepak Chahar,MI,BOWL,2,9.25
Gerald Coetzee,GT,BOWL,1.25,2.4
Akash Deep,LSG,BOWL,1,8
Tushar Deshpande,RR,BOWL,1,6.5
Lockie Ferguson,PBKS,BOWL,2,2
Bhuvneshwar Kumar,RCB,BOWL,2,10.75
Mukesh Kumar,DC,BOWL,2,8
AM Ghazanfar,MI,BOWL,0.75,4.8
Akeal Hosein,-,BOWL,1.5,Unsold
Keshav Maharaj,-,BOWL,0.75,Unsold
Mujeeb Ur Rahman,-,BOWL,2,Unsold
Adil Rashid,-,BOWL,2,Unsold
Vijayakanth Viyaskanth,-,BOWL,0.75,Unsold
Ricky Bhui,-,BAT,0.3,TBA
Swastik Chikara,RCB,BAT,0.3,0.3
Aarya Desai,-,BAT,0.3,TBA
Shubham Dubey,RR,BAT,0.3,0.8
Madhav Kaushik,-,BAT,0.3,Unsold
Pukhraj Mann,-,BAT,0.3,Unsold
Shaik Rasheed,CSK,BAT,0.3,0.3
Himmat Singh,LSG,BAT,0.3,0.3
Mayank Dagar,-,AR,0.3,Unsold
Anshul Kamboj,CSK,AR,0.3,3.4
Arshad Khan,GT,AR,0.3,1.3
Darshan Nalkande,DC,AR,0.3,0.3
Suyash Prabhudessai,-,AR,0.3,TBA
Anukul Roy,KKR,AR,0.3,0.4
Swapnil Singh,RCB,AR,0.3,0.5
Sanvir Singh,-,AR,0.3,TBA
Aravelly Avanish,-,BAT,0.3,Unsold
Vansh Bedi,CSK,BAT,0.3,0.55
Saurav Chauhan,-,BAT,0.3,TBA
Harvik Desai,-,BAT,0.3,Unsold
Tom Kohler-Cadmore,-,BAT,0.5,TBA
Kunal Singh Rathore,RR,BAT,0.3,0.3
BR Sharath,-,BAT,0.3,TBA
Gurnoor Brar,GT,BOWL,0.3,1.3
Mukesh Choudhary,CSK,BOWL,0.3,0.3
Sakib Hussain,-,BOWL,0.3,Unsold
Vidwath Kaverappa,-,BOWL,0.3,Unsold
Rajan Kumar,-,BOWL,0.3,Unsold
Sushant Mishra,-,BOWL,0.3,TBA
Arjun Tendulkar,MI,BOWL,0.3,0.3
Zeeshan Ansari,SRH,BOWL,0.3,0.4
Prince Choudhary,-,BOWL,0.3,Unsold
Himanshu Sharma,-,BOWL,0.3,TBA
Manimaran Siddharth,LSG,BOWL,0.3,0.75
Digvesh Singh,LSG,BOWL,0.3,0.3
Prashant Solanki,-,BOWL,0.3,Unsold
Jhathavedh Subramanyan,-,BOWL,0.3,Unsold
Finn Allen,-,BAT,2,Unsold
Dewald Brevis,-,BAT,0.75,Unsold
Ben Duckett,-,BAT,2,Unsold
Manish Pandey,KKR,BAT,0.75,0.75
Rilee Rossouw,-,BAT,2,TBA
Sherfane Rutherford,GT,BAT,1.5,2.6
Ashton Turner,-,BAT,1,TBA
James Vince,-,BAT,2,TBA
Shahbaz Ahmed,LSG,AR,1,2.4
Moeen Ali,KKR,AR,2,2
Tim David,RCB,AR,2,3
Deepak Hooda,CSK,AR,0.75,1.7
Will Jacks,MI,AR,2,5.25
Azmatullah Omarzai,PBKS,AR,1.5,2.4
Sai Kishore,GT,AR,0.75,2
Romario Shepherd,RCB,AR,1.5,1.5
Tom Banton,-,BAT,2,TBA
Sam Billings,-,BAT,1.5,TBA
Jordan Cox,-,BAT,1.25,TBA
Ben McDermott,-,BAT,0.75,TBA
Kusal Mendis,-,BAT,0.75,TBA
Kusal Perera,-,BAT,0.75,TBA
Josh Philippe,-,BAT,0.75,Unsold
Tim Seifert,-,BAT,1.25,TBA
Nandre Burger,-,BOWL,1.25,TBA
Spencer Johnson,KKR,BOWL,2,2.8
Umran Malik,KKR,BOWL,0.75,0.75
Mustafizur Rahman,-,BOWL,2,Unsold
Ishant Sharma,GT,BOWL,0.75,0.75
Nuwan Thushara,RCB,BOWL,0.75,1.6
