Players,Team,Type,Base,Sold
Lakshay Jain,-,AR,0.3,TBA
Duan Jansen,-,AR,0.3,TBA
Kritagya Singh,-,AR,0.3,TBA
P Vignesh,-,AR,0.3,TBA
Sabhay Chadha,-,AR,0.3,TBA
Benny Howell,-,AR,0.3,TBA
Hemanth Kumar,-,AR,0.3,TBA
Rohan Rana,-,AR,0.3,TBA
Bharat Sharma,-,AR,0.3,TBA
Pratham Singh,-,AR,0.3,TBA
Tripurana Vijay,DC,AR,0.3,0.3
Ravi Kumar Yadav,-,AR,0.3,TBA
Arjun Azad,-,AR,0.3,TBA
Abhay Choudhary,-,AR,0.3,TBA
Gaurav Gambhir,-,AR,0.3,TBA
Shubham Garhwal,-,AR,0.3,TBA
Tejasvi Jaiswal,-,AR,0.3,TBA
Sairaj Patil,-,AR,0.3,TBA
Madhav Tiwari,DC,AR,0.3,0.4
Kamal Tripathi,-,AR,0.3,TBA
Prashant Chauhan,-,AR,0.3,TBA
Yash Dabas,-,AR,0.3,Unsold
Dhruv Kaushik,-,AR,0.3,TBA
Khrievitso Kense,-,AR,0.3,Unsold
Akash Parkar,-,AR,0.3,TBA
Vignesh Puthur,MI,AR,0.3,0.3
Tripuresh Singh,-,AR,0.3,TBA
Vijay Yadav,-,AR,0.3,TBA
Jofra Archer,RR,BOWL,2,12.5
Saurabh Netravalkar,-,BOWL,0.3,TBA
Hardik Tamore,-,WK,0.3,TBA
Daryl Mitchell,-,AR,2,Unsold
